BUGID,FNAME,CHURN,LOC
27036,qtbase/src/corelib/tools/qdatetime.cpp,28,2843
27036,qtbase/src/corelib/tools/qdatetime_p.h,2.5,162
27036,qtbase/src/widgets/widgets/qdatetimeedit.cpp,5.5,1496
27036,qtbase/tests/auto/widgets/widgets/qdatetimeedit/tst_qdatetimeedit.cpp,62,2775
24699,qtbase/src/corelib/global/qglobal.cpp,1,161
24699,qtbase/src/plugins/platforms/windows/qwindowsdialoghelpers.cpp,19.5,708
22528,qtbase/src/widgets/itemviews/qheaderview.cpp,0.5,2179
23657,qtbase/src/widgets/widgets/qlineedit.cpp,1,883
25153,qtbase/tests/auto/gui/painting/qpainter/tst_qpainter.cpp,10.5,3294
25153,qtbase/src/gui/painting/qcosmeticstroker.cpp,2.5,760
21863,qtbase/tests/auto/corelib/io/qfileinfo/tst_qfileinfo.cpp,3.5,881
21863,qtbase/src/corelib/io/qfilesystemengine_win.cpp,3.5,842
95736,qtbase/tests/auto/tools/qmake/testdata/include_pwd/anotherheader.h,1,1
95736,qtbase/tests/auto/tools/qmake/testdata/include_pwd/somedirectory/someheader.h,0.5,0.5
95736,qtbase/qmake/generators/win32/mingw_make.cpp,3.5,354
95736,qtbase/tests/auto/tools/qmake/testdata/include_pwd/main.cpp,3,3
95736,qtbase/tests/auto/tools/qmake/tst_qmake.cpp,4.5,361
2596,qtbase/src/widgets/widgets/qmenu.cpp,1,2050
2596,qtbase/tests/auto/widgets/widgets/qmenubar/tst_qmenubar.cpp,20.5,799
27629,qtbase/qmake/generators/makefile.cpp,1,2830
15351,qtbase/src/printsupport/dialogs/qpagesetupdialog_unix.cpp,47.5,420
15351,qtbase/src/printsupport/dialogs/qpagesetupdialog_unix_p.h,2,35
15351,qtbase/src/printsupport/dialogs/qprintdialog_unix.cpp,184.5,435
24374,qtbase/tests/auto/widgets/widgets/qtoolbutton/tst_qtoolbutton.cpp,2,138
26371,qtbase/tests/auto/other/macgui/tst_macgui.cpp,1,134
26866,qtbase/src/network/ssl/qssl.h,1,41
