BUGID,FNAME,CHURN,LOC
33360,qtbase/src/gui/image/qmovie.cpp,5,474
33360,qtbase/src/corelib/thread/qsemaphore.cpp,3,65
33360,qtbase/src/widgets/util/qundogroup.cpp,3,167
33360,qtbase/src/corelib/xml/qxmlstream.cpp,48,2069
33360,qtbase/src/gui/math3d/qvector3d.cpp,5,135
33360,qtbase/examples/widgets/tutorials/threads/hellothread/main.cpp,26,9
33360,qtbase/src/corelib/plugin/qpluginloader.cpp,5,154
33360,qtbase/src/printsupport/dialogs/qabstractprintdialog.cpp,1,166
33360,qtbase/examples/widgets/tutorials/threads/movedobject/workerobject.h,32,16
33360,qtbase/src/gui/painting/qpaintengine.cpp,5,404
33360,qtbase/src/gui/kernel/qopenglcontext.cpp,10,569
33360,qtbase/src/corelib/tools/qtimezone.cpp,7,7
33360,qtbase/src/widgets/graphicsview/qgraphicsitem.cpp,39,5092
33360,qtbase/src/widgets/widgets/qtoolbar.cpp,4,608
33360,qtbase/examples/widgets/tutorials/threads/movedobject/main.cpp,34.5,16
33360,qtbase/examples/widgets/tutorials/threads/hellothread/hellothread.h,26.5,6
33360,qtbase/src/corelib/plugin/qlibrary.cpp,8,395
33360,qtbase/src/gui/kernel/qplatformintegration.cpp,2,128
33360,qtbase/src/corelib/thread/qthreadstorage.cpp,1,110
33360,qtbase/src/dbus/qdbusmessage.cpp,2,383
33360,qtbase/src/testlib/qbenchmarkvalgrind.cpp,3,0
33360,qtbase/src/dbus/qdbuscontext.cpp,4,53
33360,qtbase/src/corelib/tools/qchar.cpp,71,507
33360,qtbase/src/corelib/tools/qshareddata.cpp,9,2
33360,qtbase/src/dbus/qdbusunixfiledescriptor.cpp,4,62
33360,qtbase/src/gui/text/qplatformfontdatabase.cpp,2,285
33360,qtbase/src/gui/kernel/qplatformsharedgraphicscache.cpp,2,2
33360,qtbase/src/corelib/animation/qsequentialanimationgroup.cpp,1,297
33360,qtbase/src/opengl/qglbuffer.cpp,5,197
33360,qtbase/src/corelib/io/qfileinfo.cpp,29,589
33360,qtbase/src/network/access/qnetworkreplyhttpimpl.cpp,2,1323
33360,qtbase/src/corelib/tools/qdatetimeparser.cpp,3,3
33360,qtbase/src/corelib/kernel/qobjectcleanuphandler.cpp,2,38
33360,qtbase/src/corelib/tools/qcryptographichash.cpp,1,226
